epoch,lr,step,test_acc,test_acc_top5,test_ece,test_loss,train_acc_epoch,train_acc_step,train_acc_top5_epoch,train_acc_top5_step,train_ece_epoch,train_ece_step,train_loss_epoch,train_loss_step,val_acc,val_acc_top5,val_ece,val_loss
0,,40,,,,,0.2301829308271408,,0.8663617968559265,,0.1823522299528122,,1.827313780784607,,,,,
1,0.19599999487400055,49,,,,,,0.2083333283662796,,0.875,,0.16348308324813843,,1.6764500141143799,,,,
1,,49,0.2660990357398987,0.9078134298324585,0.19669464230537415,1.7403583526611328,,,,,,,,,0.3199999928474426,0.9549999833106995,0.17077985405921936,1.6562259197235107
1,,81,,,,,0.26829269528388977,,0.9009146094322205,,0.1998005360364914,,1.7456579208374023,,,,,
2,0.3959999978542328,99,,,,,,0.375,,0.875,,0.13879600167274475,,1.6093882322311401,,,,
2,,99,0.30007404088974,0.9253056049346924,0.1878388673067093,1.6366852521896362,,,,,,,,,0.3700000047683716,0.9649999737739563,0.1876404583454132,1.5564712285995483
2,,122,,,,,0.288617879152298,,0.9181910753250122,,0.18470731377601624,,1.6804218292236328,,,,,
3,0.5960000157356262,149,,,,,,0.4166666567325592,,0.875,,0.19681093096733093,,1.587390661239624,,,,
3,,149,0.31060391664505005,0.9315218329429626,0.21848717331886292,1.6315553188323975,,,,,,,,,0.3700000047683716,0.9549999833106995,0.24277319014072418,1.57061767578125
3,,163,,,,,0.333841472864151,,0.932418704032898,,0.20007549226284027,,1.6172484159469604,,,,,
4,0.7960000038146973,199,,,,,,0.3333333432674408,,0.9583333134651184,,0.22347483038902283,,1.5904968976974487,,,,
4,,199,0.33031338453292847,0.9248230457305908,0.2137371152639389,1.6049641370773315,,,,,,,,,0.4000000059604645,0.9300000071525574,0.1868150681257248,1.4764502048492432
4,,204,,,,,0.3252032399177551,,0.9283536672592163,,0.2033499926328659,,1.637627363204956,,,,,
5,,245,,,,,0.32571136951446533,,0.920223593711853,,0.20993299782276154,,1.6125134229660034,,,,,
6,0.9959999918937683,249,,,,,,0.2916666567325592,,1.0,,0.23729008436203003,,1.5260388851165771,,,,
6,,249,0.31576529145240784,0.934466540813446,0.23725751042366028,1.6608961820602417,,,,,,,,,0.4050000011920929,0.9599999785423279,0.23188218474388123,1.5105594396591187
6,,286,,,,,0.35924795269966125,,0.9369918704032898,,0.19026409089565277,,1.5533115863800049,,,,,
7,1.1959999799728394,299,,,,,,0.375,,0.9166666865348816,,0.17430801689624786,,1.6370599269866943,,,,
7,,299,0.3372576832771301,0.9324702024459839,0.23694099485874176,1.6093751192092896,,,,,,,,,0.4099999964237213,0.9649999737739563,0.22370897233486176,1.4478224515914917
7,,327,,,,,0.3516260087490082,,0.9532520174980164,,0.216238334774971,,1.538550615310669,,,,,
8,1.3960000276565552,349,,,,,,0.2916666567325592,,0.9166666865348816,,0.23288953304290771,,1.7093743085861206,,,,
8,,349,0.3302251398563385,0.9458498954772949,0.26445528864860535,1.6337131261825562,,,,,,,,,0.41499999165534973,0.9800000190734863,0.22473227977752686,1.4342237710952759
8,,368,,,,,0.375,,0.9486788511276245,,0.22541090846061707,,1.5317052602767944,,,,,
9,1.5959999561309814,399,,,,,,0.4583333432674408,,0.9583333134651184,,0.350705623626709,,1.3341031074523926,,,,
9,,399,0.35405367612838745,0.9428869485855103,0.2247564047574997,1.565353512763977,,,,,,,,,0.48500001430511475,0.9549999833106995,0.19225263595581055,1.3320499658584595
9,,409,,,,,0.3861788511276245,,0.9430894255638123,,0.22482259571552277,,1.526521921157837,,,,,
10,1.7960000038146973,449,,,,,,0.25,,0.9166666865348816,,0.23183763027191162,,1.7264827489852905,,,,
10,,449,0.3361148536205292,0.9520032405853271,0.24529419839382172,1.5923043489456177,,,,,,,,,0.4300000071525574,0.9750000238418579,0.2002553790807724,1.3769694566726685
10,,450,,,,,0.37093496322631836,,0.9502032399177551,,0.23507918417453766,,1.5283607244491577,,,,,
11,,491,,,,,0.4176829159259796,,0.9583333134651184,,0.21389833092689514,,1.4558041095733643,,,,,
12,1.996000051498413,499,,,,,,0.1666666716337204,,0.875,,0.21358340978622437,,1.8411996364593506,,,,
12,,499,0.3550207316875458,0.9592110514640808,0.24425320327281952,1.5491058826446533,,,,,,,,,0.44999998807907104,0.9800000190734863,0.21149621903896332,1.3304245471954346
12,,532,,,,,0.396341472864151,,0.9537601470947266,,0.22232916951179504,,1.4733762741088867,,,,,
13,1.9996289014816284,549,,,,,,0.4166666567325592,,0.9583333134651184,,0.12536367774009705,,1.4464843273162842,,,,
13,,549,0.36290088295936584,0.9613644480705261,0.2699522078037262,1.572223424911499,,,,,,,,,0.48500001430511475,0.9850000143051147,0.2595832049846649,1.3022112846374512
13,,573,,,,,0.416158527135849,,0.9603658318519592,,0.2149890810251236,,1.4064558744430542,,,,,
14,1.9984853267669678,599,,,,,,0.4583333432674408,,1.0,,0.26376470923423767,,1.3761842250823975,,,,
14,,599,0.3849083483219147,0.9654961228370667,0.2401185780763626,1.4769017696380615,,,,,,,,,0.5950000286102295,0.9900000095367432,0.23643290996551514,1.2036556005477905
14,,614,,,,,0.4278455376625061,,0.9669715166091919,,0.22360046207904816,,1.4150784015655518,,,,,
15,1.9965699911117554,649,,,,,,0.4166666567325592,,1.0,,0.24985913932323456,,1.4993350505828857,,,,
15,,649,0.3915197551250458,0.9706822037696838,0.23350945115089417,1.4446519613265991,,,,,,,,,0.6000000238418579,0.9900000095367432,0.22374777495861053,1.1328922510147095
15,,655,,,,,0.43140244483947754,,0.9613820910453796,,0.2148834466934204,,1.4028664827346802,,,,,
16,,696,,,,,0.45579269528388977,,0.9649389982223511,,0.21775349974632263,,1.3512520790100098,,,,,
17,1.9938844442367554,699,,,,,,0.5416666865348816,,1.0,,0.25474220514297485,,1.0850298404693604,,,,
17,,699,0.3861384689807892,0.9697592854499817,0.25382891297340393,1.4581185579299927,,,,,,,,,0.5849999785423279,0.9850000143051147,0.22241008281707764,1.1309669017791748
17,,737,,,,,0.4598577320575714,,0.9659552574157715,,0.2249351292848587,,1.345085620880127,,,,,
18,1.9904307126998901,749,,,,,,0.375,,0.9583333134651184,,0.2797510623931885,,1.6301710605621338,,,,
18,,749,0.4039580225944519,0.9745947122573853,0.25263670086860657,1.4378341436386108,,,,,,,,,0.5799999833106995,0.9950000047683716,0.20959314703941345,1.079399824142456
18,,778,,,,,0.4476625919342041,,0.9659552574157715,,0.23046530783176422,,1.3322798013687134,,,,,
19,1.9862115383148193,799,,,,,,0.375,,0.9166666865348816,,0.10264921933412552,,1.4271100759506226,,,,
19,,799,0.41308116912841797,0.9722644686698914,0.24797089397907257,1.4213964939117432,,,,,,,,,0.625,0.9850000143051147,0.23589545488357544,1.063368558883667
19,,819,,,,,0.478658527135849,,0.9745935201644897,,0.2142280489206314,,1.284355878829956,,,,,
20,1.9812301397323608,849,,,,,,0.4583333432674408,,1.0,,0.2003999501466751,,1.3400039672851562,,,,
20,,849,0.41560566425323486,0.9749455451965332,0.24517059326171875,1.3988810777664185,,,,,,,,,0.675000011920929,0.9850000143051147,0.21808141469955444,0.9857261776924133
