epoch,lr,step,test_acc,test_acc_top5,test_ece,test_loss,train_acc_epoch,train_acc_step,train_acc_top5_epoch,train_acc_top5_step,train_ece_epoch,train_ece_step,train_loss_epoch,train_loss_step,val_acc,val_acc_top5,val_ece,val_loss
0,,30,,,,,0.46320563554763794,,1.0,,0.1763707548379898,,1.162510633468628,,,,,
1,0.20579999685287476,49,,,,,,0.53125,,1.0,,0.20041096210479736,,1.0865254402160645,,,,
1,,49,0.46836182475090027,1.0,0.22256436944007874,1.1589436531066895,,,,,,,,,0.6200000047683716,1.0,0.18855351209640503,0.8023542165756226
1,,61,,,,,0.5367943644523621,,1.0,,0.2101176232099533,,1.0348138809204102,,,,,
2,,92,,,,,0.5700604915618896,,1.0,,0.20107971131801605,,0.9849762320518494,,,,,
3,0.415800005197525,99,,,,,,0.46875,,1.0,,0.2713950574398041,,1.3363533020019531,,,,
3,,99,0.5580357313156128,1.0,0.21873512864112854,1.047869086265564,,,,,,,,,0.7149999737739563,1.0,0.1910553127527237,0.7051201462745667
3,,123,,,,,0.5907257795333862,,1.0,,0.19256263971328735,,0.9511844515800476,,,,,
4,0.6258000135421753,149,,,,,,0.4375,,1.0,,0.2712467312812805,,1.1250134706497192,,,,
4,,149,0.4866071343421936,1.0,0.29596272110939026,1.3833061456680298,,,,,,,,,0.6449999809265137,1.0,0.19031941890716553,0.8135677576065063
4,,154,,,,,0.5655242204666138,,1.0,,0.2020985186100006,,0.9675323367118835,,,,,
5,,185,,,,,0.5846773982048035,,1.0,,0.20210076868534088,,0.9481124877929688,,,,,
6,0.8357999920845032,199,,,,,,0.78125,,1.0,,0.18420691788196564,,0.9076670408248901,,,,
6,,199,0.5438664555549622,1.0,0.19328977167606354,1.091233253479004,,,,,,,,,0.7850000262260437,1.0,0.21324075758457184,0.6560930013656616
6,,216,,,,,0.6073588728904724,,1.0,,0.20429423451423645,,0.9391709566116333,,,,,
7,,247,,,,,0.600806474685669,,1.0,,0.19155952334403992,,0.9016410112380981,,,,,
8,1.045799970626831,249,,,,,,0.53125,,1.0,,0.16763223707675934,,1.0231151580810547,,,,
8,,249,0.5376552939414978,1.0,0.23585833609104156,1.1073795557022095,,,,,,,,,0.7250000238418579,1.0,0.19653546810150146,0.6145023703575134
8,,278,,,,,0.5942540168762207,,1.0,,0.20739738643169403,,0.9229644536972046,,,,,
9,1.2558000087738037,299,,,,,,0.46875,,1.0,,0.22730010747909546,,0.8929244875907898,,,,
9,,299,0.5498835444450378,1.0,0.23323170840740204,1.0717778205871582,,,,,,,,,0.7049999833106995,1.0,0.1632682830095291,0.5846152305603027
9,,309,,,,,0.585181474685669,,1.0,,0.2003268450498581,,0.9268237352371216,,,,,
10,,340,,,,,0.6401209831237793,,1.0,,0.1845751255750656,,0.8705384135246277,,,,,
11,1.4658000469207764,349,,,,,,0.59375,,1.0,,0.10923944413661957,,0.8396815061569214,,,,
11,,349,0.5083462595939636,1.0,0.2756045460700989,1.2139023542404175,,,,,,,,,0.6700000166893005,1.0,0.19979742169380188,0.6694600582122803
11,,371,,,,,0.6401209831237793,,1.0,,0.1968025118112564,,0.8314400315284729,,,,,
12,1.6757999658584595,399,,,,,,0.65625,,1.0,,0.16314272582530975,,0.8660352230072021,,,,
12,,399,0.5982142686843872,1.0,0.22131645679473877,1.0142955780029297,,,,,,,,,0.824999988079071,1.0,0.1482326090335846,0.4785303473472595
12,,402,,,,,0.6355846524238586,,1.0,,0.20928648114204407,,0.872732937335968,,,,,
13,,433,,,,,0.6496976017951965,,1.0,,0.18427036702632904,,0.8174938559532166,,,,,
14,1.8858000040054321,449,,,,,,0.6875,,1.0,,0.15135012567043304,,0.7896038293838501,,,,
14,,449,0.6424689292907715,1.0,0.1990915834903717,0.9488073587417603,,,,,,,,,0.8650000095367432,1.0,0.17251653969287872,0.43290287256240845
14,,464,,,,,0.6688507795333862,,1.0,,0.1930612176656723,,0.7783835530281067,,,,,
15,,495,,,,,0.6905242204666138,,1.0,,0.18721213936805725,,0.7585271596908569,,,,,
16,2.0957999229431152,499,,,,,,0.71875,,1.0,,0.13480637967586517,,0.6885564923286438,,,,
16,,499,0.6335403323173523,1.0,0.21487462520599365,0.9611428380012512,,,,,,,,,0.7950000166893005,1.0,0.17987075448036194,0.502335786819458
16,,526,,,,,0.6617943644523621,,1.0,,0.1844644546508789,,0.7783817052841187,,,,,
17,2.0992777347564697,549,,,,,,0.40625,,1.0,,0.3107055723667145,,1.1531574726104736,,,,
17,,549,0.6151009202003479,1.0,0.23846589028835297,1.0173150300979614,,,,,,,,,0.824999988079071,1.0,0.15426309406757355,0.4685194492340088
17,,557,,,,,0.7106854915618896,,1.0,,0.18400081992149353,,0.7225254774093628,,,,,
18,,588,,,,,0.6869959831237793,,1.0,,0.17651762068271637,,0.7356001138687134,,,,,
19,2.097052574157715,599,,,,,,0.6875,,1.0,,0.14839541912078857,,0.8372403979301453,,,,
19,,599,0.6506211161613464,1.0,0.23846693336963654,1.002768635749817,,,,,,,,,0.8500000238418579,1.0,0.14863432943820953,0.41991400718688965
19,,619,,,,,0.6930443644523621,,1.0,,0.19011051952838898,,0.748388946056366,,,,,
20,2.093327760696411,649,,,,,,0.8125,,1.0,,0.1978141814470291,,0.5179425477981567,,,,
20,,649,0.6737189292907715,1.0,0.2170751541852951,0.9572976231575012,,,,,,,,,0.8450000286102295,1.0,0.16657809913158417,0.41293230652809143
20,,650,,,,,0.6930443644523621,,1.0,,0.17932282388210297,,0.7187883257865906,,,,,
21,,681,,,,,0.6935483813285828,,1.0,,0.17274536192417145,,0.7180507183074951,,,,,
22,2.0881083011627197,699,,,,,,0.65625,,1.0,,0.1336626559495926,,0.7982585430145264,,,,
22,,699,0.6873059272766113,1.0,0.20106738805770874,0.9176399111747742,,,,,,,,,0.8550000190734863,1.0,0.14829851686954498,0.4035666286945343
22,,712,,,,,0.711693525314331,,1.0,,0.17640580236911774,,0.6902154684066772,,,,,
23,,743,,,,,0.7091733813285828,,1.0,,0.17694205045700073,,0.6919836401939392,,,,,
24,2.0814015865325928,749,,,,,,0.625,,1.0,,0.20227880775928497,,0.796358585357666,,,,
24,,749,0.6634316444396973,1.0,0.20565180480480194,0.9477078914642334,,,,,,,,,0.7950000166893005,1.0,0.15822738409042358,0.4809541702270508
24,,774,,,,,0.7293346524238586,,1.0,,0.17106236517429352,,0.6549349427223206,,,,,
25,2.0732176303863525,799,,,,,,0.78125,,1.0,,0.17038045823574066,,0.6857582926750183,,,,
25,,799,0.6696428656578064,1.0,0.18208254873752594,0.9073016047477722,,,,,,,,,0.8799999952316284,1.0,0.15676066279411316,0.3584689199924469
25,,805,,,,,0.7061492204666138,,1.0,,0.19237805902957916,,0.7218173742294312,,,,,
26,,836,,,,,0.7363911271095276,,1.0,,0.18375054001808167,,0.6692291498184204,,,,,
27,2.063567638397217,849,,,,,,0.65625,,1.0,,0.2069583237171173,,0.7342222332954407,,,,
27,,849,0.7125388383865356,1.0,0.20985594391822815,0.8394275307655334,,,,,,,,,0.8450000286102295,1.0,0.13619717955589294,0.39062267541885376
27,,867,,,,,0.741431474685669,,1.0,,0.17886917293071747,,0.65498286485672,,,,,
28,,898,,,,,0.7394153475761414,,1.0,,0.17294259369373322,,0.6385486125946045,,,,,
29,2.0524659156799316,899,,,,,,0.71875,,1.0,,0.16075265407562256,,0.6219942569732666,,,,
29,,899,0.7125388383865356,1.0,0.17868687212467194,0.8254625201225281,,,,,,,,,0.875,1.0,0.15100131928920746,0.33751675486564636
29,,929,,,,,0.7479838728904724,,1.0,,0.17052847146987915,,0.6293423175811768,,,,,
30,2.0399281978607178,949,,,,,,0.71875,,1.0,,0.20669925212860107,,0.6900218725204468,,,,
30,,949,0.6867235898971558,1.0,0.19243201613426208,0.8692158460617065,,,,,,,,,0.8550000190734863,1.0,0.14134544134140015,0.36904701590538025
30,,960,,,,,0.7691532373428345,,1.0,,0.17269060015678406,,0.5974620580673218,,,,,
31,,991,,,,,0.7515121102333069,,1.0,,0.17914201319217682,,0.6141173839569092,,,,,
32,2.025972366333008,999,,,,,,0.71875,,1.0,,0.179092139005661,,0.6608081459999084,,,,
32,,999,0.7369953393936157,1.0,0.1716625988483429,0.7834550738334656,,,,,,,,,0.8799999952316284,1.0,0.16094344854354858,0.34248191118240356
32,,1022,,,,,0.7550403475761414,,1.0,,0.16280311346054077,,0.595440149307251,,,,,
33,2.0106184482574463,1049,,,,,,0.75,,1.0,,0.18034793436527252,,0.6718919277191162,,,,
33,,1049,0.7329192757606506,1.0,0.18868695199489594,0.7975277304649353,,,,,,,,,0.8999999761581421,1.0,0.13601656258106232,0.2843570411205292
33,,1053,,,,,0.7595766186714172,,1.0,,0.1611398458480835,,0.5953847765922546,,,,,
34,,1084,,,,,0.7636088728904724,,1.0,,0.1725873202085495,,0.5832521915435791,,,,,
35,1.9938886165618896,1099,,,,,,0.65625,,1.0,,0.20923830568790436,,0.7851687073707581,,,,
35,,1099,0.7261257767677307,1.0,0.19581015408039093,0.8430564999580383,,,,,,,,,0.9150000214576721,1.0,0.1177711933851242,0.26958131790161133
35,,1115,,,,,0.7721773982048035,,1.0,,0.1623382866382599,,0.565637469291687,,,,,
36,,1146,,,,,0.7590726017951965,,1.0,,0.16854897141456604,,0.5829201936721802,,,,,
37,1.975806474685669,1149,,,,,,0.75,,1.0,,0.13684876263141632,,0.6466524004936218,,,,
37,,1149,0.7228260636329651,1.0,0.17391347885131836,0.8488888144493103,,,,,,,,,0.9200000166893005,1.0,0.11330076307058334,0.2575457692146301
37,,1177,,,,,0.7394153475761414,,1.0,,0.17236477136611938,,0.6013805270195007,,,,,
38,1.9563981294631958,1199,,,,,,0.65625,,1.0,,0.12340348958969116,,0.6977386474609375,,,,
38,,1199,0.7472826242446899,1.0,0.17548729479312897,0.8128544092178345,,,,,,,,,0.925000011920929,1.0,0.1272919774055481,0.27702775597572327
38,,1208,,,,,0.7661290168762207,,1.0,,0.15636193752288818,,0.5690103769302368,,,,,
39,,1239,,,,,0.7595766186714172,,1.0,,0.17607532441616058,,0.5899253487586975,,,,,
40,1.935691475868225,1249,,,,,,0.78125,,1.0,,0.14407876133918762,,0.8204410076141357,,,,
40,,1249,0.7369953393936157,1.0,0.1611829549074173,0.8243380188941956,,,,,,,,,0.9100000262260437,1.0,0.1149027943611145,0.256313294172287
40,,1270,,,,,0.7827621102333069,,1.0,,0.15999603271484375,,0.5483315587043762,,,,,
41,1.9137160778045654,1299,,,,,,0.65625,,1.0,,0.20309212803840637,,0.8211705684661865,,,,
41,,1299,0.7519410252571106,1.0,0.16942277550697327,0.8023126125335693,,,,,,,,,0.9049999713897705,1.0,0.11586273461580276,0.2641697824001312
41,,1301,,,,,0.7948588728904724,,1.0,,0.15338581800460815,,0.5166022181510925,,,,,
42,,1332,,,,,0.7837701439857483,,1.0,,0.1553846299648285,,0.5262596607208252,,,,,
43,1.8905032873153687,1349,,,,,,0.78125,,1.0,,0.17771628499031067,,0.4999833106994629,,,,
43,,1349,0.7138975262641907,1.0,0.1920778453350067,0.8933421969413757,,,,,,,,,0.9150000214576721,1.0,0.10511719435453415,0.2394832968711853
43,,1363,,,,,0.7691532373428345,,1.0,,0.1608932465314865,,0.5596950650215149,,,,,
44,,1394,,,,,0.7807459831237793,,1.0,,0.1669124960899353,,0.5524418950080872,,,,,
45,1.8660866022109985,1399,,,,,,0.71875,,1.0,,0.16637955605983734,,0.6170065999031067,,,,
45,,1399,0.75,1.0,0.17743651568889618,0.8389256596565247,,,,,,,,,0.9350000023841858,1.0,0.09996071457862854,0.21987813711166382
45,,1425,,,,,0.8175403475761414,,1.0,,0.15670333802700043,,0.482732892036438,,,,,
46,1.840500831604004,1449,,,,,,0.71875,,1.0,,0.15580525994300842,,0.6747189164161682,,,,
46,,1449,0.7567934989929199,1.0,0.17776136100292206,0.8209949135780334,,,,,,,,,0.9150000214576721,1.0,0.11309079080820084,0.23006635904312134
46,,1456,,,,,0.8029233813285828,,1.0,,0.16021569073200226,,0.5106178522109985,,,,,
47,,1487,,,,,0.7933467626571655,,1.0,,0.15658429265022278,,0.5007703304290771,,,,,
48,1.8137826919555664,1499,,,,,,0.6875,,1.0,,0.2107326090335846,,0.7365427017211914,,,,
