epoch,lr,step,test_acc,test_acc_top5,test_ece,test_loss,train_acc_epoch,train_acc_step,train_acc_top5_epoch,train_acc_top5_step,train_ece_epoch,train_ece_step,train_loss_epoch,train_loss_step,val_acc,val_acc_top5,val_ece,val_loss
0,,14,,,,,0.6885416507720947,,1.0,,0.12757155299186707,,0.9635534882545471,,,,,
1,,29,,,,,0.7364583611488342,,1.0,,0.12214440852403641,,0.8657100200653076,,,,,
2,,44,,,,,0.7364583611488342,,1.0,,0.10659021884202957,,0.8746386766433716,,,,,
3,0.19599999487400055,49,,,,,,0.671875,,1.0,,0.11441823840141296,,1.00173020362854,,,,
3,,49,0.7359567284584045,1.0,0.11225660145282745,0.8379776477813721,,,,,,,,,0.7300000190734863,1.0,0.0893971249461174,0.8143667578697205
3,,59,,,,,0.7322916388511658,,1.0,,0.11079410463571548,,0.8588263392448425,,,,,
4,,74,,,,,0.7302083373069763,,1.0,,0.12340521812438965,,0.8671683073043823,,,,,
5,,89,,,,,0.737500011920929,,1.0,,0.1239016056060791,,0.861123263835907,,,,,
6,0.3959999978542328,99,,,,,,0.703125,,1.0,,0.19094352424144745,,0.967768669128418,,,,
6,,99,0.7356522083282471,1.0,0.12228776514530182,0.8285212516784668,,,,,,,,,0.7300000190734863,1.0,0.12231859564781189,0.7941790819168091
6,,104,,,,,0.7291666865348816,,1.0,,0.12371708452701569,,0.86043781042099,,,,,
7,,119,,,,,0.7197916507720947,,1.0,,0.13400204479694366,,0.887910008430481,,,,,
8,,134,,,,,0.7322916388511658,,1.0,,0.11302278935909271,,0.856313943862915,,,,,
9,0.5960000157356262,149,,,,,,0.71875,,1.0,,0.14423498511314392,,0.8581894636154175,,,,
9,,149,0.7304282784461975,1.0,0.14429274201393127,0.856092631816864,,,,,,,,,0.75,1.0,0.1589190512895584,0.7862741351127625
9,,149,,,,,0.737500011920929,,1.0,,0.1485743373632431,,0.8548685312271118,,,,,
10,,164,,,,,0.7177083492279053,,1.0,,0.1256333738565445,,0.8543014526367188,,,,,
11,,179,,,,,0.7302083373069763,,1.0,,0.1285209357738495,,0.8536515831947327,,,,,
12,,194,,,,,0.731249988079071,,1.0,,0.12668149173259735,,0.843273937702179,,,,,
13,0.7960000038146973,199,,,,,,0.5,,1.0,,0.1390083134174347,,1.1168015003204346,,,,
13,,199,0.7364487051963806,1.0,0.15006065368652344,0.9098747968673706,,,,,,,,,0.7300000190734863,1.0,0.1430034041404724,0.8500071167945862
13,,209,,,,,0.7270833253860474,,1.0,,0.12112890928983688,,0.8318930268287659,,,,,
14,,224,,,,,0.7302083373069763,,1.0,,0.13972969353199005,,0.8372460007667542,,,,,
15,,239,,,,,0.7447916865348816,,1.0,,0.11591212451457977,,0.8063541054725647,,,,,
16,0.9959999918937683,249,,,,,,0.796875,,1.0,,0.13857579231262207,,0.7381247282028198,,,,
16,,249,0.7465658283233643,1.0,0.14260666072368622,0.8540526032447815,,,,,,,,,0.7300000190734863,1.0,0.13329198956489563,0.7829976677894592
16,,254,,,,,0.7322916388511658,,1.0,,0.12329979985952377,,0.837919294834137,,,,,
17,,269,,,,,0.734375,,1.0,,0.1350245475769043,,0.836647629737854,,,,,
18,,284,,,,,0.7385416626930237,,1.0,,0.11719837784767151,,0.8153380155563354,,,,,
19,1.1959999799728394,299,,,,,,0.78125,,1.0,,0.16085441410541534,,0.7291712760925293,,,,
19,,299,0.7467298007011414,1.0,0.12817606329917908,0.8294467926025391,,,,,,,,,0.7300000190734863,1.0,0.13164448738098145,0.7489921450614929
19,,299,,,,,0.7385416626930237,,1.0,,0.1158849224448204,,0.8098503351211548,,,,,
20,,314,,,,,0.7302083373069763,,1.0,,0.13513435423374176,,0.8151063919067383,,,,,
21,,329,,,,,0.7354166507720947,,1.0,,0.13498398661613464,,0.817796528339386,,,,,
22,,344,,,,,0.7395833134651184,,1.0,,0.13250792026519775,,0.800227165222168,,,,,
23,1.3960000276565552,349,,,,,,0.8125,,1.0,,0.20152124762535095,,0.7381258010864258,,,,
23,,349,0.7666595268249512,1.0,0.15408684313297272,0.8722424507141113,,,,,,,,,0.7300000190734863,1.0,0.14840978384017944,0.789488673210144
23,,359,,,,,0.7427083253860474,,1.0,,0.12492691725492477,,0.8120991587638855,,,,,
24,,374,,,,,0.7385416626930237,,1.0,,0.11845514178276062,,0.8107155561447144,,,,,
25,,389,,,,,0.737500011920929,,1.0,,0.12142761796712875,,0.8067156672477722,,,,,
26,1.5959999561309814,399,,,,,,0.75,,1.0,,0.198433518409729,,0.8252162933349609,,,,
26,,399,0.7568937730789185,1.0,0.14388258755207062,0.8512970209121704,,,,,,,,,0.7300000190734863,1.0,0.15063750743865967,0.7562315464019775
26,,404,,,,,0.7427083253860474,,1.0,,0.1349668651819229,,0.8115342259407043,,,,,
27,,419,,,,,0.731249988079071,,1.0,,0.12335468083620071,,0.8241689205169678,,,,,
28,,434,,,,,0.7489583492279053,,1.0,,0.1329774707555771,,0.7965138554573059,,,,,
29,1.7960000038146973,449,,,,,,0.734375,,1.0,,0.09324009716510773,,0.7177014350891113,,,,
29,,449,0.7588941049575806,1.0,0.12235073745250702,0.8141680955886841,,,,,,,,,0.7599999904632568,1.0,0.1460990458726883,0.7023449540138245
29,,449,,,,,0.7395833134651184,,1.0,,0.12581798434257507,,0.7837902307510376,,,,,
30,,464,,,,,0.7385416626930237,,1.0,,0.11543436348438263,,0.7951557040214539,,,,,
31,,479,,,,,0.7354166507720947,,1.0,,0.11845287680625916,,0.8014010787010193,,,,,
32,,494,,,,,0.737500011920929,,1.0,,0.12150868028402328,,0.7966707944869995,,,,,
33,1.996000051498413,499,,,,,,0.703125,,1.0,,0.20989461243152618,,0.9161106944084167,,,,
33,,499,0.7695174503326416,1.0,0.11988967657089233,0.8069990873336792,,,,,,,,,0.7350000143051147,1.0,0.14205756783485413,0.7049673199653625
33,,509,,,,,0.7385416626930237,,1.0,,0.14328356087207794,,0.8161706328392029,,,,,
34,,524,,,,,0.7229166626930237,,1.0,,0.12879197299480438,,0.8094688653945923,,,,,
35,,539,,,,,0.7427083253860474,,1.0,,0.11753418296575546,,0.7781277894973755,,,,,
36,1.99613356590271,549,,,,,,0.6875,,1.0,,0.1207176148891449,,0.9297207593917847,,,,
36,,549,0.7796345734596252,1.0,0.11852599680423737,0.7975616455078125,,,,,,,,,0.7450000047683716,1.0,0.1300872415304184,0.6821664571762085
36,,554,,,,,0.7302083373069763,,1.0,,0.1345444768667221,,0.7893213629722595,,,,,
37,,569,,,,,0.7416666746139526,,1.0,,0.13124042749404907,,0.7728453874588013,,,,,
38,,584,,,,,0.7395833134651184,,1.0,,0.13234111666679382,,0.8024852275848389,,,,,
39,1.9842485189437866,599,,,,,,0.703125,,1.0,,0.09467994421720505,,0.8566803932189941,,,,
39,,599,0.7884958863258362,1.0,0.13085272908210754,0.8032917380332947,,,,,,,,,0.7599999904632568,1.0,0.14866912364959717,0.6819204688072205
39,,599,,,,,0.7427083253860474,,1.0,,0.12552888691425323,,0.7704150080680847,,,,,
40,,614,,,,,0.7489583492279053,,1.0,,0.11056827753782272,,0.7897872924804688,,,,,
41,,629,,,,,0.7427083253860474,,1.0,,0.12184245884418488,,0.77584308385849,,,,,
42,,644,,,,,0.737500011920929,,1.0,,0.1295577585697174,,0.7942355871200562,,,,,
43,1.9644389152526855,649,,,,,,0.765625,,1.0,,0.12744128704071045,,0.7390633821487427,,,,
43,,649,0.7604167652130127,1.0,0.12334705144166946,0.8000944256782532,,,,,,,,,0.75,1.0,0.10380183905363083,0.6721127033233643
43,,659,,,,,0.7510416507720947,,1.0,,0.11904627829790115,,0.777094841003418,,,,,
44,,674,,,,,0.7385416626930237,,1.0,,0.12615270912647247,,0.7939018607139587,,,,,
45,,689,,,,,0.753125011920929,,1.0,,0.1307576298713684,,0.7681371569633484,,,,,
46,1.9368641376495361,699,,,,,,0.734375,,1.0,,0.149917334318161,,0.8360874056816101,,,,
46,,699,0.779306628704071,1.0,0.11949200928211212,0.799706757068634,,,,,,,,,0.7400000095367432,1.0,0.11115169525146484,0.6770221590995789
46,,704,,,,,0.7395833134651184,,1.0,,0.13985159993171692,,0.7825623750686646,,,,,
47,,719,,,,,0.746874988079071,,1.0,,0.11944640427827835,,0.7578502893447876,,,,,
