epoch,lr,step,test_acc,test_acc_top5,test_loss,train_acc_epoch,train_acc_step,train_acc_top5_epoch,train_acc_top5_step,train_loss_epoch,train_loss_step,val_acc,val_acc_top5,val_loss
0,,29,0.10625684261322021,0.1967567801475525,5.879955291748047,,,,,,,0.14000000059604645,0.23999999463558197,5.8465094566345215
0,,40,,,,0.04573170840740204,,0.09603658318519592,,5.94051456451416,,,,
1,0.009800000116229057,49,,,,,0.0833333358168602,,0.1666666716337204,,5.8769025802612305,,,
1,,59,0.1809077262878418,0.32832589745521545,5.773829936981201,,,,,,,0.27000001072883606,0.47999998927116394,5.687276840209961
1,,81,,,,0.21290650963783264,,0.38871949911117554,,5.742766380310059,,,,
2,,89,0.22781142592430115,0.4029768407344818,5.671913146972656,,,,,,,0.3400000035762787,0.675000011920929,5.535916328430176
2,0.01979999989271164,99,,,,,0.2916666567325592,,0.6666666865348816,,5.508828639984131,,,
2,,119,0.25004592537879944,0.4302186667919159,5.566243648529053,,,,,,,0.35499998927116394,0.7099999785423279,5.389739990234375
2,,122,,,,0.29674795269966125,,0.5330284833908081,,5.540596008300781,,,,
3,0.02979999966919422,149,,,,,0.2083333283662796,,0.5,,5.42584228515625,,,
3,,149,0.25624769926071167,0.4448733627796173,5.466827392578125,,,,,,,0.36500000953674316,0.7200000286102295,5.248053073883057
3,,163,,,,0.32621949911117554,,0.5980691313743591,,5.34547758102417,,,,
4,,179,0.26359790563583374,0.4526369571685791,5.360846996307373,,,,,,,0.39500001072883606,0.7300000190734863,5.100135803222656
4,0.039799999445676804,199,,,,,0.3333333432674408,,0.5833333134651184,,5.238766670227051,,,
4,,204,,,,0.35924795269966125,,0.619918704032898,,5.150444507598877,,,,
5,,209,0.2634601891040802,0.45396921038627625,5.260097980499268,,,,,,,0.4000000059604645,0.75,4.949847221374512
5,,239,0.2714535593986511,0.4628355801105499,5.16706657409668,,,,,,,0.42500001192092896,0.75,4.815615653991699
5,,245,,,,0.3658536672592163,,0.6285569071769714,,4.976598262786865,,,,
6,0.049800001084804535,249,,,,,0.3333333432674408,,0.5416666865348816,,5.163947582244873,,,
6,,269,0.2752203941345215,0.4670157730579376,5.0752692222595215,,,,,,,0.42500001192092896,0.7549999952316284,4.683719635009766
6,,286,,,,0.38058942556381226,,0.6504064798355103,,4.789999485015869,,,,
7,0.05979999899864197,299,,,,,0.2916666567325592,,0.5416666865348816,,4.83870267868042,,,
