epoch,lr,step,test_acc,test_acc_top5,test_ece,test_loss,train_acc_epoch,train_acc_step,train_acc_top5_epoch,train_acc_top5_step,train_ece_epoch,train_ece_step,train_loss_epoch,train_loss_step,val_acc,val_acc_top5,val_ece,val_loss
0,,14,,,,,0.04843749850988388,,0.2979166805744171,,0.04770732671022415,,2.8260812759399414,,,,,
1,,29,,,,,0.05885416641831398,,0.3088541626930237,,0.05915616825222969,,2.8440961837768555,,,,,
2,,44,,,,,0.06197916716337204,,0.32239583134651184,,0.05984649807214737,,2.838862419128418,,,,,
3,0.19599999487400055,49,,,,,,0.046875,,0.15625,,0.06335735321044922,,2.86505126953125,,,,
3,,49,0.0640055313706398,0.3302680253982544,0.04797646030783653,2.835333824157715,,,,,,,,,0.03999999910593033,0.35499998927116394,0.06866853684186935,2.8185830116271973
3,,59,,,,,0.0651041641831398,,0.3109374940395355,,0.05224002152681351,,2.837066888809204,,,,,
4,,74,,,,,0.06093750149011612,,0.32864582538604736,,0.07776582986116409,,2.842994213104248,,,,,
5,,89,,,,,0.06875000149011612,,0.3307291567325592,,0.058814797550439835,,2.8311140537261963,,,,,
6,0.3959999978542328,99,,,,,,0.046875,,0.34375,,0.11133825778961182,,2.8514997959136963,,,,
6,,99,0.0653889998793602,0.3442518413066864,0.06023202836513519,2.815601348876953,,,,,,,,,0.07000000029802322,0.4050000011920929,0.058441855013370514,2.810431480407715
6,,104,,,,,0.0651041641831398,,0.32499998807907104,,0.059295907616615295,,2.8178551197052,,,,,
7,,119,,,,,0.06614582985639572,,0.33802083134651184,,0.06611241400241852,,2.823025703430176,,,,,
8,,134,,,,,0.0625,,0.3473958373069763,,0.06662649661302567,,2.8059849739074707,,,,,
9,0.5960000157356262,149,,,,,,0.046875,,0.21875,,0.07591457664966583,,2.865560531616211,,,,
9,,149,0.0798475444316864,0.3648003339767456,0.03306058049201965,2.7756896018981934,,,,,,,,,0.07500000298023224,0.44999998807907104,0.03909232094883919,2.719287395477295
9,,149,,,,,0.07656250149011612,,0.34322917461395264,,0.07227516174316406,,2.817387104034424,,,,,
10,,164,,,,,0.0677083358168602,,0.36770832538604736,,0.05696630850434303,,2.7999866008758545,,,,,
11,,179,,,,,0.08177082985639572,,0.38229167461395264,,0.06249173358082771,,2.7707557678222656,,,,,
12,,194,,,,,0.07916666567325592,,0.38333332538604736,,0.06426558643579483,,2.772709846496582,,,,,
13,0.7960000038146973,199,,,,,,0.046875,,0.390625,,0.08214128762483597,,2.8112125396728516,,,,
13,,199,0.0668402761220932,0.34912109375,0.06861859560012817,2.8272199630737305,,,,,,,,,0.03999999910593033,0.3149999976158142,0.09144020825624466,2.8301618099212646
13,,209,,,,,0.0677083358168602,,0.3635416626930237,,0.06778924912214279,,2.800950288772583,,,,,
14,,224,,,,,0.07604166865348816,,0.34687501192092896,,0.06198621913790703,,2.804262399673462,,,,,
15,,239,,,,,0.08020833134651184,,0.3828125,,0.05812246724963188,,2.7829432487487793,,,,,
16,0.9959999918937683,249,,,,,,0.0,,0.328125,,0.1586216390132904,,2.900909900665283,,,,
16,,249,0.0931803360581398,0.3670247495174408,0.040227122604846954,2.776003837585449,,,,,,,,,0.13500000536441803,0.4449999928474426,0.04147256538271904,2.6976020336151123
16,,254,,,,,0.0859375,,0.38229167461395264,,0.06002778932452202,,2.7852556705474854,,,,,
17,,269,,,,,0.10000000149011612,,0.34843748807907104,,0.05760933458805084,,2.7887868881225586,,,,,
18,,284,,,,,0.08802083134651184,,0.3734374940395355,,0.06729750335216522,,2.7750887870788574,,,,,
19,1.1959999799728394,299,,,,,,0.046875,,0.40625,,0.1266924887895584,,2.754544973373413,,,,
19,,299,0.0879448801279068,0.357666015625,0.05125521495938301,2.8263790607452393,,,,,,,,,0.10499999672174454,0.41999998688697815,0.02951112762093544,2.7603659629821777
19,,299,,,,,0.09479166567325592,,0.3942708373069763,,0.04982366785407066,,2.7520499229431152,,,,,
20,,314,,,,,0.09583333134651184,,0.39114582538604736,,0.0592217780649662,,2.757871389389038,,,,,
21,,329,,,,,0.09427083283662796,,0.3921875059604645,,0.06384625285863876,,2.77297306060791,,,,,
22,,344,,,,,0.08489583432674408,,0.4088541567325592,,0.061702653765678406,,2.7658395767211914,,,,,
23,1.3960000276565552,349,,,,,,0.0625,,0.453125,,0.1096147820353508,,2.79425048828125,,,,
23,,349,0.0689697265625,0.3637559711933136,0.08089549094438553,2.798738718032837,,,,,,,,,0.07000000029802322,0.38999998569488525,0.08001943677663803,2.7455179691314697
23,,359,,,,,0.08020833134651184,,0.3890624940395355,,0.08379876613616943,,2.7886033058166504,,,,,
24,,374,,,,,0.0859375,,0.42656248807907104,,0.06817440688610077,,2.7302117347717285,,,,,
25,,389,,,,,0.09218750149011612,,0.4000000059604645,,0.06448137015104294,,2.776141405105591,,,,,
26,1.5959999561309814,399,,,,,,0.03125,,0.375,,0.13760696351528168,,2.8011345863342285,,,,
26,,399,0.0995551198720932,0.3652614951133728,0.05713249742984772,2.7676401138305664,,,,,,,,,0.14499999582767487,0.4350000023841858,0.06356697529554367,2.6712424755096436
26,,404,,,,,0.08749999850988388,,0.43177083134651184,,0.06433039158582687,,2.727116346359253,,,,,
27,,419,,,,,0.09947916865348816,,0.4348958432674408,,0.07575177401304245,,2.7468130588531494,,,,,
28,,434,,,,,0.09687499701976776,,0.4088541567325592,,0.055719420313835144,,2.7227821350097656,,,,,
29,1.7960000038146973,449,,,,,,0.21875,,0.515625,,0.08765638619661331,,2.5865817070007324,,,,
29,,449,0.140380859375,0.4539252519607544,0.054820284247398376,2.703814744949341,,,,,,,,,0.23999999463558197,0.5450000166893005,0.12008461356163025,2.565270185470581
29,,449,,,,,0.12135417014360428,,0.47708332538604736,,0.0834893137216568,,2.6845405101776123,,,,,
30,,464,,,,,0.14479166269302368,,0.5385416746139526,,0.07906509190797806,,2.6060729026794434,,,,,
31,,479,,,,,0.15312500298023224,,0.5682291388511658,,0.10270961374044418,,2.5550577640533447,,,,,
32,,494,,,,,0.15625,,0.5973958373069763,,0.09347418695688248,,2.485987663269043,,,,,
33,1.996000051498413,499,,,,,,0.109375,,0.375,,0.03606913983821869,,2.6856932640075684,,,,
33,,499,0.0660129114985466,0.3221706748008728,0.177903950214386,3.170228958129883,,,,,,,,,0.07999999821186066,0.3149999976158142,0.1825585961341858,3.1390373706817627
33,,509,,,,,0.18333333730697632,,0.6057291626930237,,0.10208352655172348,,2.4657881259918213,,,,,
34,,524,,,,,0.16562500596046448,,0.5895833373069763,,0.08949781209230423,,2.451986789703369,,,,,
35,,539,,,,,0.171875,,0.6458333134651184,,0.0912240669131279,,2.413741111755371,,,,,
36,1.99613356590271,549,,,,,,0.109375,,0.671875,,0.16419824957847595,,2.4097771644592285,,,,
36,,549,0.1919894814491272,0.6950954794883728,0.07267074286937714,2.279453992843628,,,,,,,,,0.23999999463558197,0.7300000190734863,0.1085762232542038,2.2057044506073
36,,554,,,,,0.17499999701976776,,0.643750011920929,,0.11079161614179611,,2.406367063522339,,,,,
37,,569,,,,,0.1770833283662796,,0.6942708492279053,,0.10404179245233536,,2.3282978534698486,,,,,
38,,584,,,,,0.17812499403953552,,0.6302083134651184,,0.11061014980077744,,2.3904333114624023,,,,,
39,1.9842485189437866,599,,,,,,0.078125,,0.4375,,0.08362004905939102,,2.565211772918701,,,,
39,,599,0.1167127788066864,0.5346408486366272,0.13949750363826752,2.4646661281585693,,,,,,,,,0.1550000011920929,0.6000000238418579,0.1307605504989624,2.383713960647583
39,,599,,,,,0.1796875,,0.6677083373069763,,0.11301030218601227,,2.312584400177002,,,,,
40,,614,,,,,0.19739583134651184,,0.6588541865348816,,0.11357155442237854,,2.3297502994537354,,,,,
41,,629,,,,,0.20468750596046448,,0.6864583492279053,,0.12083954364061356,,2.2751011848449707,,,,,
42,,644,,,,,0.20520833134651184,,0.731249988079071,,0.11811598390340805,,2.1992743015289307,,,,,
43,1.9644389152526855,649,,,,,,0.21875,,0.71875,,0.09428445994853973,,2.154148578643799,,,,
43,,649,0.2496202290058136,0.8679741621017456,0.09118727594614029,2.030519723892212,,,,,,,,,0.38999998569488525,0.925000011920929,0.2099730372428894,1.8846076726913452
43,,659,,,,,0.21302083134651184,,0.7015625238418579,,0.10953182727098465,,2.231696367263794,,,,,
44,,674,,,,,0.21510416269302368,,0.7286458611488342,,0.11758946627378464,,2.1729187965393066,,,,,
45,,689,,,,,0.22708334028720856,,0.7713541388511658,,0.11130905896425247,,2.1193394660949707,,,,,
46,1.9368641376495361,699,,,,,,0.25,,0.890625,,0.085014209151268,,1.9658381938934326,,,,
